.	0	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	0	7427	7486	7690	8277	8903	9408	10149	36099	36974	62536	96375	99752	147701	216722	221152	246463	248522	255152	261063	265324	280329	314356	327077	332142	361151	391503	828433	879269	895300	1055263	2315718	6142387	9618956	13486951	13541493	13605671	13721009	14332735	14364217	14985247	
.	1	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	1	8983	9023	9193	9734	10287	10799	11554	54654	55553	73773	95183	102148	186804	279078	283658	316089	318127	325445	331841	335929	360698	419361	432543	437734	469481	497841	816422	869843	889381	1034379	2134598	5929204	9235914	13439233	13494963	13570212	13719368	14332986	14364096	14985244	14985247	
.	2	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	2	3857	3918	4143	4714	5272	5786	6503	49627	50517	58936	80589	87202	179373	266448	271979	296388	298588	305597	313637	317814	344714	406977	419336	424673	455113	482127	800225	856937	876731	1013737	2034009	4781664	8029591	12287073	12374936	12482161	13722490	14333826	14365676	14985224	14985247	
.	3	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	3	3993	4035	4201	4764	5308	5761	6463	50661	51569	60347	77553	82978	177021	260150	269177	275260	277777	280790	294199	298809	327684	388841	394650	399958	418019	435700	684061	725188	744939	805688	868411	3351431	4965490	6064263	6816468	7015547	13735224	14352523	14376847	14985132	14985247	
.	4	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
.	4	1121	1189	1419	2033	2635	3316	4223	50086	51106	59814	73158	77941	171204	254836	263969	270503	273421	276512	289975	294836	323569	383633	389743	395289	413508	432198	638491	677299	697823	761032	826444	2574195	4189516	5271637	6015032	6488034	13740233	14349375	14373885	14983331	14985247	
.	5	1	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	
